"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"5715","FBEMASO","Fia bemaso 
","","","","Fia bemaso 
"
"5716","H","Horita","Octopus","","","Horita"
"5717","FANTSISY","Fia Antisy","No idea but these seem to go together","","","Fia Antisy"
"5718","FMOROY","Fia Moroy","Lionfish","","","Fia Moroy"
"5719","",NA,NA,NA,NA,NA
"5720","",NA,NA,NA,NA,NA
"5721","H","Horita","Octopus","","","Horita"
"5722","H","Horita","Octopus","","","Horita"
"5723","FTOHO","Fia Toho","Duckbill sleeper or freshwater goby or speckled goby/ Butis butis or awaous aeneofuscus or redigobius bikolanus","","","Fia Toho"
"5724","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5725","H","Horita","Octopus","","","Horita"
"5726","H","Horita","Octopus","","","Horita"
"5727","FTABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"5728","FTABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"5729","H","Horita","Octopus","","","Horita"
"5730","H","Horita","Octopus","","","Horita"
"5731","H","Horita","Octopus","","","Horita"
"5732","H","Horita","Octopus","","","Horita"
"5733","H","Horita","Octopus","","","Horita"
"5734","FSAVESAVE","Savisavy","Fish","","","Savisavy"
"5735","H","Horita","Octopus","","","Horita"
"5736","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5737","FVORRAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5738","H","Horita","Octopus","","","Horita"
"5739","H","Horita","Octopus","","","Horita"
"5740","H","Horita","Octopus","","","Horita"
"5741","FAY RARA","Fay rara","","","","Fay rara"
"5742","H","Horita","Octopus","","","Horita"
"5743","FAMONGO","","Fish","","","Fish"
"5744","FLOVOHARA","Fia Lovo","Bluespotted or coral grouper / cephalopholis argus or cephalopholis miniata","LOVO","EPINEPHELUS FUSCOGUTTATUS, CEPHALOPHOLIS SEXMACULATA, CEPHALOPHOLIS MINIATA, ANYPERADON LEUCOGRAMMICUS, EPINEPHELUS CAERULEOPUNCTATUS, EPINEPHELUS FASCIATUS, PLECTROPOMUS PUNCTATUS, CEPHALOPHOLIS URODETA, CEPHALOPHOLIS SONNERATI, PLECTROPOMUS LAEVIS, EPINEPHELUS MULTINOTATUS, PLECTORHINCHUS ALBOVITTATUS, ANYPERODON LEUCOGRAMMICUS, CEPHALOPHOLIS SONNERATI<A0>, PLECTOPOMUS PUNCTATUS, PLECTOPOMUS LAEVIS, PLECTORHINCHUS ALBOVITATUS","LOVO"
"5745","H","Horita","Octopus","","","Horita"
"5746","FMANDREDRE","Fia Mandredre","","","","Fia Mandredre"
"5747","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5748","H","Horita","Octopus","","","Horita"
"5749","H","Horita","Octopus","","","Horita"
"5750","FTABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"5751","FVAREVIKE"," Varevike","","",""," Varevike"
"5752","H","Horita","Octopus","","","Horita"
"5753","FTSIFA","Fiantsifa","Naso unicornis","","","Fiantsifa"
"5754","FBONDRO","Fia Bondro","","","","Fia Bondro"
"5755","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5756","FTSORABY","","","","",""
"5757","",NA,NA,NA,NA,NA
"5758","FLAVANIFY","","","LAVANIFY","LETHRINUS OLIVACEUS","LAVANIFY"
"5759","FVAREVIKE"," Varevike","","",""," Varevike"
"5760","FTSORABY","","","","",""
