Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2021,NEW JERSEY,"FLOUNDER, SUMMER",3780087.00,"1,715",,Public,Recreational,,172735,MRIP
2021,NEW YORK,"FLOUNDER, SUMMER",1156846.00,525,,Public,Recreational,,172735,MRIP
2021,NEW YORK,"FLOUNDER, SUMMER",1052927.00,478,3784180.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2021,NORTH CAROLINA,"FLOUNDER, SUMMER",27492.00,12,,Public,Recreational,,172735,MRIP
2021,RHODE ISLAND,"FLOUNDER, SUMMER",1893347.00,859,5576112.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2021,RHODE ISLAND,"FLOUNDER, SUMMER",163107.00,74,,Public,Recreational,,172735,MRIP
2021,VIRGINIA,"FLOUNDER, SUMMER",636402.00,289,,Public,Recreational,,172735,MRIP
2021,VIRGINIA,"FLOUNDER, SUMMER",1787994.00,811,4381758.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,CONNECTICUT,"FLOUNDER, SUMMER",370467.00,168,1114283.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,CONNECTICUT,"FLOUNDER, SUMMER",387745.00,176,,Public,Recreational,,172735,MRIP
2020,DELAWARE,"FLOUNDER, SUMMER",534253.00,242,,Public,Recreational,,172735,MRIP
2020,DELAWARE,"FLOUNDER, SUMMER",608.00,0,1860.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,MARYLAND,"FLOUNDER, SUMMER",187230.00,85,,Public,Recreational,,172735,MRIP
2020,MARYLAND,"FLOUNDER, SUMMER",200792.00,91,433247.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,MASSACHUSETTS,"FLOUNDER, SUMMER",700390.00,318,1971195.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,MASSACHUSETTS,"FLOUNDER, SUMMER",175592.00,80,,Public,Recreational,,172735,MRIP
2020,NEW JERSEY,"FLOUNDER, SUMMER",5491742.00,"2,491",,Public,Recreational,,172735,MRIP
2020,NEW JERSEY,"FLOUNDER, SUMMER",1907392.00,865,5152231.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,NEW YORK,"FLOUNDER, SUMMER",870876.00,395,2965272.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,NEW YORK,"FLOUNDER, SUMMER",2389716.00,"1,084",,Public,Recreational,,172735,MRIP
2020,NORTH CAROLINA,"FLOUNDER, SUMMER",37935.00,17,,Public,Recreational,,172735,MRIP
2020,RHODE ISLAND,"FLOUNDER, SUMMER",1704496.00,773,4713031.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,RHODE ISLAND,"FLOUNDER, SUMMER",479596.00,218,,Public,Recreational,,172735,MRIP
2020,VIRGINIA,"FLOUNDER, SUMMER",1587503.00,720,2902398.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2020,VIRGINIA,"FLOUNDER, SUMMER",381169.00,173,,Public,Recreational,,172735,MRIP
2019,CONNECTICUT,"FLOUNDER, SUMMER",290519.00,132,1120256.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,CONNECTICUT,"FLOUNDER, SUMMER",292457.00,133,,Public,Recreational,,172735,MRIP
2019,DELAWARE,"FLOUNDER, SUMMER",224530.00,102,,Public,Recreational,,172735,MRIP
2019,DELAWARE,"FLOUNDER, SUMMER",1260.00,1,3925.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,MARYLAND,"FLOUNDER, SUMMER",206375.00,94,,Public,Recreational,,172735,MRIP
2019,MARYLAND,"FLOUNDER, SUMMER",155915.00,71,405917.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,MASSACHUSETTS,"FLOUNDER, SUMMER",551267.00,250,1981082.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,MASSACHUSETTS,"FLOUNDER, SUMMER",145203.00,66,,Public,Recreational,,172735,MRIP
2019,NEW JERSEY,"FLOUNDER, SUMMER",3229094.00,"1,465",,Public,Recreational,,172735,MRIP
2019,NEW JERSEY,"FLOUNDER, SUMMER",1598740.00,725,5093942.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,NEW YORK,"FLOUNDER, SUMMER",866403.00,393,3488450.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,NEW YORK,"FLOUNDER, SUMMER",2441758.00,"1,108",,Public,Recreational,,172735,MRIP
2019,NORTH CAROLINA,"FLOUNDER, SUMMER",52874.00,24,,Public,Recreational,,172735,MRIP
2019,RHODE ISLAND,"FLOUNDER, SUMMER",1661068.00,753,5616614.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,RHODE ISLAND,"FLOUNDER, SUMMER",837116.00,380,,Public,Recreational,,172735,MRIP
2019,VIRGINIA,"FLOUNDER, SUMMER",1918045.00,870,5029834.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2019,VIRGINIA,"FLOUNDER, SUMMER",368959.00,167,,Public,Recreational,,172735,MRIP
2018,CONNECTICUT,"FLOUNDER, SUMMER",177454.00,80,857084.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,CONNECTICUT,"FLOUNDER, SUMMER",549273.00,249,,Public,Recreational,,172735,MRIP
2018,DELAWARE,"FLOUNDER, SUMMER",205383.00,93,,Public,Recreational,,172735,MRIP
2018,DELAWARE,"FLOUNDER, SUMMER",677.00,0,2000.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,MARYLAND,"FLOUNDER, SUMMER",121761.00,55,,Public,Recreational,,172735,MRIP
2018,MARYLAND,"FLOUNDER, SUMMER",143372.00,65,608333.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,MASSACHUSETTS,"FLOUNDER, SUMMER",428610.00,194,2018214.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,MASSACHUSETTS,"FLOUNDER, SUMMER",142542.00,65,,Public,Recreational,,172735,MRIP
2018,NEW JERSEY,"FLOUNDER, SUMMER",3154575.00,"1,431",,Public,Recreational,,172735,MRIP
2018,NEW JERSEY,"FLOUNDER, SUMMER",1045566.00,474,4549094.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,NEW YORK,"FLOUNDER, SUMMER",462678.00,210,2218871.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,NEW YORK,"FLOUNDER, SUMMER",2385338.00,"1,082",,Public,Recreational,,172735,MRIP
2018,NORTH CAROLINA,"FLOUNDER, SUMMER",92032.00,42,,Public,Recreational,,172735,MRIP
2018,RHODE ISLAND,"FLOUNDER, SUMMER",1022615.00,464,4709969.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,RHODE ISLAND,"FLOUNDER, SUMMER",603758.00,274,,Public,Recreational,,172735,MRIP
2018,VIRGINIA,"FLOUNDER, SUMMER",1254422.00,569,4569622.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2018,VIRGINIA,"FLOUNDER, SUMMER",345068.00,157,,Public,Recreational,,172735,MRIP
2017,CONNECTICUT,"FLOUNDER, SUMMER",134611.00,61,674344.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,CONNECTICUT,"FLOUNDER, SUMMER",402534.00,183,,Public,Recreational,,172735,MRIP
2017,DELAWARE,"FLOUNDER, SUMMER",253706.00,115,,Public,Recreational,,172735,MRIP
2017,DELAWARE,"FLOUNDER, SUMMER",1438.00,1,4700.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,MARYLAND,"FLOUNDER, SUMMER",138152.00,63,566866.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,MARYLAND,"FLOUNDER, SUMMER",171500.00,78,,Public,Recreational,,172735,MRIP
2017,MASSACHUSETTS,"FLOUNDER, SUMMER",171923.00,78,,Public,Recreational,,172735,MRIP
2017,MASSACHUSETTS,"FLOUNDER, SUMMER",420714.00,191,1867802.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,NEW JERSEY,"FLOUNDER, SUMMER",961840.00,436,4296476.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,NEW JERSEY,"FLOUNDER, SUMMER",3601728.00,"1,634",,Public,Recreational,,172735,MRIP
2017,NEW YORK,"FLOUNDER, SUMMER",4214270.00,"1,912",,Public,Recreational,,172735,MRIP
2017,NEW YORK,"FLOUNDER, SUMMER",491433.00,223,2402314.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,NORTH CAROLINA,"FLOUNDER, SUMMER",147428.00,67,,Public,Recreational,,172735,MRIP
2017,RHODE ISLAND,"FLOUNDER, SUMMER",596911.00,271,,Public,Recreational,,172735,MRIP
2017,RHODE ISLAND,"FLOUNDER, SUMMER",896048.00,406,4299481.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2017,VIRGINIA,"FLOUNDER, SUMMER",528356.00,240,,Public,Recreational,,172735,MRIP
2017,VIRGINIA,"FLOUNDER, SUMMER",1253804.00,569,4793588.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,CONNECTICUT,"FLOUNDER, SUMMER",191133.00,87,808169.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,CONNECTICUT,"FLOUNDER, SUMMER",1023898.00,464,,Public,Recreational,,172735,MRIP
2016,DELAWARE,"FLOUNDER, SUMMER",435180.00,197,,Public,Recreational,,172735,MRIP
2016,DELAWARE,"FLOUNDER, SUMMER",2236.00,1,7254.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,MARYLAND,"FLOUNDER, SUMMER",98357.00,45,,Public,Recreational,,172735,MRIP
2016,MARYLAND,"FLOUNDER, SUMMER",158996.00,72,668445.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,MASSACHUSETTS,"FLOUNDER, SUMMER",582778.00,264,2325620.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,MASSACHUSETTS,"FLOUNDER, SUMMER",239848.00,109,,Public,Recreational,,172735,MRIP
2016,NEW JERSEY,"FLOUNDER, SUMMER",4717552.00,"2,140",,Public,Recreational,,172735,MRIP
2016,NEW JERSEY,"FLOUNDER, SUMMER",1296913.00,588,5442082.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,NEW YORK,"FLOUNDER, SUMMER",603522.00,274,2527473.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,NEW YORK,"FLOUNDER, SUMMER",5744493.00,"2,606",,Public,Recreational,,172735,MRIP
2016,NORTH CAROLINA,"FLOUNDER, SUMMER",110392.00,50,,Public,Recreational,,172735,MRIP
2016,RHODE ISLAND,"FLOUNDER, SUMMER",1306386.00,593,5480488.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,RHODE ISLAND,"FLOUNDER, SUMMER",340533.00,154,,Public,Recreational,,172735,MRIP
2016,VIRGINIA,"FLOUNDER, SUMMER",1663218.00,754,5268071.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2016,VIRGINIA,"FLOUNDER, SUMMER",528711.00,240,,Public,Recreational,,172735,MRIP
2015,CONNECTICUT,"FLOUNDER, SUMMER",286890.00,130,1078470.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,CONNECTICUT,"FLOUNDER, SUMMER",998521.00,453,,Public,Recreational,,172735,MRIP
2015,DELAWARE,"FLOUNDER, SUMMER",270177.00,123,,Public,Recreational,,172735,MRIP
2015,DELAWARE,"FLOUNDER, SUMMER",1349.00,1,4166.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,MARYLAND,"FLOUNDER, SUMMER",251327.00,114,,Public,Recreational,,172735,MRIP
2015,MARYLAND,"FLOUNDER, SUMMER",187811.00,85,597412.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,MASSACHUSETTS,"FLOUNDER, SUMMER",748432.00,339,2763684.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,MASSACHUSETTS,"FLOUNDER, SUMMER",385990.00,175,,Public,Recreational,,172735,MRIP
2015,NEW JERSEY,"FLOUNDER, SUMMER",3245930.00,"1,472",,Public,Recreational,,172735,MRIP
2015,NEW JERSEY,"FLOUNDER, SUMMER",1683068.00,763,5063161.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,NEW YORK,"FLOUNDER, SUMMER",829929.00,376,3043104.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,NEW YORK,"FLOUNDER, SUMMER",5010655.00,"2,273",,Public,Recreational,,172735,MRIP
2015,NORTH CAROLINA,"FLOUNDER, SUMMER",157439.00,71,,Public,Recreational,,172735,MRIP
2015,RHODE ISLAND,"FLOUNDER, SUMMER",1716095.00,778,6106979.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,RHODE ISLAND,"FLOUNDER, SUMMER",790649.00,359,,Public,Recreational,,172735,MRIP
2015,VIRGINIA,"FLOUNDER, SUMMER",2274402.00,"1,032",5694109.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2015,VIRGINIA,"FLOUNDER, SUMMER",719296.00,326,,Public,Recreational,,172735,MRIP
2014,CONNECTICUT,"FLOUNDER, SUMMER",253442.00,115,920878.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,CONNECTICUT,"FLOUNDER, SUMMER",935468.00,424,,Public,Recreational,,172735,MRIP
2014,DELAWARE,"FLOUNDER, SUMMER",449038.00,204,,Public,Recreational,,172735,MRIP
2014,DELAWARE,"FLOUNDER, SUMMER",1687.00,1,4890.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,MARYLAND,"FLOUNDER, SUMMER",281914.00,128,,Public,Recreational,,172735,MRIP
2014,MARYLAND,"FLOUNDER, SUMMER",192047.00,87,598064.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,MASSACHUSETTS,"FLOUNDER, SUMMER",696029.00,316,2503909.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2014,MASSACHUSETTS,"FLOUNDER, SUMMER",575290.00,261,,Public,Recreational,,172735,MRIP
