"","WORDS_INDATA","NAME_OTHER","LOCAL_ANIRA","SCI_NAME"
"28","FIANDIMOTSE, FIANTSOMOTSE, FONONDOMOTSE","","FIANTSOMOTSE,FIANTSOMOTSE,FIANTSOOTSE","PARUPENEUS BARBERINUS, PARUPENEUS BIFASCIATUS, PARUPENEUS CYCLOSTOMUS, PARUPENEUS HEPTACANTHUS, PARUPENEUS PLEUROSTIGMA, PARUPENEUS RUBESCENS, MULLOIDICHTHYS FLEUOLINEATUS"
"29","FIA GAMO, GAMO, FIAGAMO","","GAMO,GAMO MANDRITSIAMINTSALOTSE,GAMOPAREABAVA","ETEIS CARBUNCULU, PRISTIPOMOIDES FILAMENTOSUS, ETELIS CARBUNCULUS"
"30","HAMBINTSOZO, HAMBITSOZO","","HAMBY","HEMIGYMNUS FASCIATUS, LEBROIDES DIMIDIATUS, LABROIDES DIMIDIATUS"
"31","JOHO, JONJA,   JOKO","","JOHO","LUTJANU ARGENTIMACULATUS, LUTJANUS MONASTIGMA, LUTJANUS SEBAE, LUTJANUS FULVUS, AETHALOPERCA ROGAA, LUTJANUS ARGENTIMACULATUS, LUTJANUS MONOSTIGMA"
"32","KIMIRIKE, KIMIRIKE","","KINIRIKE","SCOMBEROIDES LYSAN"
"33","FIAMBONJO","","FIAMBONDRO,,FIAMBONDRO BEMASO,FIAMBONDRO MENA,,FIAMBONDRO SARIJOHO,FIAMBONDRO SARILAFO,FIAMBONDRO SARILOVO,MBONDRO","CHEILINUS FASCIATUS, CHEILINUS OXYCEPHALUS, CHEILINUS TRILOBATUS, CHEILINUS UNDULATUS, LABRICHTHYS UNILINEATUS, OXYCHEILINUS BIMACULATUS, OXYCHEILINUS DIGRAMMUS, PSEUDOCHEILNUS EVANUDUS, PTERAGOGUS FLAGELLIFERA, EPIBILUS UNSUDIATOR, PSEUDOCHEILINUS EVANIDUS, OXYCHEILINUS DIGRAMMA, HOLOGYMNOSUS ANNULATUS"
"34","MAHALOGY","","MAHALOGY","SELAR CRUMENOPHTHALMUS"
"35","FMAHALOKY","","MAHALOKY,MAHALOKY BEMASO","RASTRELLIGER KANAGURTA, SELAR CRUMENOPHTHALMUS, CAESIO CAERULAUREA, KATSUWONUS PELAMIS"
"36","ANGY","","ANGINKARA,ANGINKARA,ANGINTSOY,ANGIHOALA","CTENOCHAETUS TRUNCATUS, ZEBRASOMA SCOPUS, CTENOCHAETUS STRIATUS, ACANTHUNUS MATA, ACANTHUNUS XANTHOPTERUS, ACANTHTURUS BLOCHII, ACANTHTURUS XANTHOPTERUS, ACANTHURUS BLOCHII, ACANTHURUS XANTHOPTERUS"
"37","SAROBE, SAROLE,","","SAROBE","LUTJANUS KASMIRA"
"38","SORALY, SORANALY, SORIALY, SOROALY","","SORONALE","LUTJANUS KASMIRA, LUTJANUS FULVIFLAMMA"
"39","TAMPAMPANDRA, TAMPAMPOROHA, TAMPAPOROHA","","TAPOROHA","LETHRINUS HARAK"
"40","TSIOMARENE, TSIOMEARENE, TSIONERANE, TSOIMARE, TSOIMARENE, TSOMEAROE","","TSOMEARENY, TSOMIARINY","PLECTORHINCUS ALBOVITTATUS, PLECTORHINCHUS GIBBOSUS, PLECTORHINCHUS SCHOTAF"
"41","TSIOMENA, TSOIKE MENA, TSOIMENA,","","TSOY","MULLOIDICHTHYS VANICAULEUSIS, MULLOIDICHTHYS FLAVOLINEATUS"
"42","TSOOIKE,","","TSOY","MULLOIDICHTHYS VANICAULEUSIS, MULLOIDICHTHYS FLAVOLINEATUS"
"43","TSABEABATO","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHEINUS NEBULOSUS, LETHRINUS NEBULOSUS"
"44","ZAGO, ZANGA, ZANGA, ZANGA   , ZANGA PITIKE,   TSK ZANGA, ANGA, FN ZANGA, FT ZANGA, FT ZANGA , FALA ZANGA, JB ZANGA, JM ZANGA, JM ZANGA , JM ZANGA, MAITE ZANGA , SANGA, Z , Z FALA, ZFOLERA, ZANGA DRAGON  , ZTARIKE, ZTONA, ZAGA, ZAGA, ZANA, ZANGA, ZANGA , ZANGA   , ZANGA , ZANGA , ZANGA ,  , ZANGA JBE, ZANGA JM, ZANGA JM, ZANGA KIDA, ZANGA MAINTE,ZANGA MAINTE, ZANGA MAINTE, ZANGA POTIKE, ZANGA SN, ZANGA SONO, ZANGA TARIKE,  ZANGA ZM, ZANGA ZM, ZANGA , ZANGA, ZANG, ZANGA BABAKE, ZANGA BABOKE,  ZANGAA, ZANNGA","Sea cucumber","",NA
"45","DRAKAKE, DRAKAKE, DRAKAKY","Crab","",NA
"46","DRAGON, DRAGO, DRAMGO, DRANGE, DRANGO, DRANGO, DRANGO","Seahorse","",NA
"47","TOHO","","TOHO,,TOHOMPASE,TOHOMPASY","PAPILLOCULICEPS LONGICEPS, NEMATELEOTRIS MAGNIFICA, PTERELEOTRIS EVIDES"
"48","FAMBARIAKE, FAMBARIAKE, FAMBARIAKE, FAMBRIAKE, AMBARIAKEDOSOLOHA, AMBARIAKY, AMBARIKE, FIA AMBARIAKE","","AMBARIAKE,AMBARIAKE BEMASO","GERE ACINACES, GYMNOCRANIUS GRISEUS, LETHRINUS HARAK, MONOTAXIS GRANDOCULIS, GYMNOCRANIUS GRANDOCULIS, GERRES ACINACES"
