Word (MG),Word (ENG),In data examples,Source,Possible Local Name
,," ""F.tsabeake"", ""F.Tsabeake"", ""F.TSABEAKE"", ""F.tsabeaky"", ""F.Tsabeaky"", ""tsabeaky"",""TSABEAKE"" , ""TSABEANE""",,Tsabeake
,," ""TAMBOKY"",, ""F.TABOKINA"", ""TABOKINA"", ""TAMBOKINY"", ""TAABOKINA"",""TABIKINA"", ""TABOKONA"",""TOBOKINA""",,
Fia Tapaporoha,Thumbprint emperor/ Lethrinus harak,"""F.tapaporoha"", ""F.Tapaporoha"", ""FIA TAPAPOROHA""",Caitlin,
Fia Taratake,Blacktip or brownspotted grouper/ Epinephelus fasciatus or hexagonatus,"""F.Taratake"", ""TARATAKE"", ""TARATAKY"" ",Caitlin,
Fia Tsiripoasa?,,"""F.timatipaosa"", ""F.Tririmpaosa"", ""f.Tsirimpaosa"", ""F.tsirimpaosa"", ""F.Tsirimpaosa"", ""F.TSIRIMPAOSA"", ""F.TSIRIMPAQSA"", ""F.tsiripaosa"", ""TSIRIMPAOSA""",,
Fia Toho,Duckbill sleeper or freshwater goby or speckled goby/ Butis butis or awaous aeneofuscus or redigobius bikolanus,"""f.toho"", ""F.toho"", ""F.Toho"", ""F.TOHO"", ""F.Tona"", ""F.TONA"", ""FIIA TOHO"", ""TOHO"", ""toho"", ""TONA"", ""TOKO"" ,  ""TONGA"" ",Caitlin,
Fia Tsamearene?,,"""F.tsamearene"", ""F.Tsamearene"", ""F.TSAMEARENE"", ""F.tsameareny"", ""f.tsiamearene"", ""F.tsiameareny""",,
Fia tsara,,"""F.tsara"", ""F.Tsara"", ""F.TSARA"",  ""FIANTSARA""",,
,,", ""F.Tsaramatseroke""",,
,," ""TSARABY""",,
Fiantsifa,Naso unicornis,"""F.tsfa"", ""F.tsifa"", ""F.Tsifa"", ""F.TSIFA"", ""F.tsifaH"", ""F.tsipa"", ""FIANNTSIFA"", ""FIATSIFA""",BV,
,Fish,"""F.tsikahitse"", ""F.tsokahita"", ""F.tsokahite"", ""F.tsokahitse"", ""F.Tsokahitse"", ""TSOKAHITSE"" , ",,
,,"LOVIA""",,
,,"""tsitsike"", ""Tsitsike"", ""TSITSIKE"", ""Tsiysike"", ""T SITSIKE"", ""tsitsiky"", ""TSITIKE"", ""TSITSIKA"", ",,
,," ""FIA TSOIKE"", ""TASOIKE"",""TSOIK"", ""TSOIKE"", ""TSOIKE "", ""TSOIKE,""TSIOKE""",,
,,"""F.tsoraby"", ""F.Tsoraby"", ""F.TSORABY"", ""ANJARANTSORABY"", ""F,Tsoraby"", ""TSORABY"", ""ANTSORABY"", ""TSOBARY""",,
,,F.Tsobariake,,
Fia tsontso,White  banded triggerfish/ rhinecanthus aculeatus,"""F.TSONTSO"", ""FIA TSONTSO"", ""TSONTSO"", ""F.TSON6"", ""F.TSONSO"", ""F.tsontso"", ""tsontso"", ""TAOTSO"", ""TSONTSO, ,  ""TSONTSO, ""TSONTSO, TAKALO"", ""TSONTSO ""TSONTSON-DAMBO"", ""TSONTSONDAMBO"", ""TSORITSO"", ""TSOSO"", ""TSOTSO""",Caitlin,"""Tsontso"",""Tsontso alaotse"",""Tsontso fania"",""Tsontso fanihy"",""Tsontso sikily"",""Tsontso tsimalaho"",""Tsontsombola"",""Tsontsomkara"""
,,"BOTANA""",,
,,"LEME"",LEME"",",,
Fia Tsoy,Mulloides auriflamma,"""F.tsoy"", ""F.Tsoy"", ""F.TSOY"", ""F.tsoy "", ""F.TSOY "", ""f.tsoy  "", ""F.Tsoy Antsisy"",""F.TSOY BE"", ""F.TSOY DAFE"", ""F.Tsoy malinike"",""F.TSOY MALINIKE"",""F.Tsoy rotse"", ""F.tsoymalinike"", ""F.TsoyMalinike"", ""F.TsoyMaliniky"", ""TSOY"", ""FI A  TSOIKE"", ""TSOY DAFE"", ""TSOY DAFY"", ""TSOY MENA""",BV,"""Tsoy"""
,," ""TSY OMEA RENE""",,Tsiomearene
Fia varavara,Mangrove red snapper/ Lutjanus argentimaculatus,"""F.Varavara"",""F.VARAVARA"", ""VARAVARA"",""VARELAVA""",Caitlin,"""Varavara"",""Varavara/Mahozatse"""
,,"VALOZORO, ",,
Valalataitse,,"""f.valala"", ""F.valala"", ""F.Valala"", ""F.VALALA"",valala, ""FIA VALALA"", ""FIAVALALA"", ""VALALA FIA"", ""VALALA TAITSE"", ""VALALAFIA"", ""VALALAMPASY"", ""VALALATAITSE""",,
,," ""VALORIRA"", ""VALORORA"", ",,
 Varevike,,"""F.varevike"", ""F.Varevike"", ""F.VAREVIKE"", ""F.varivike"", ""VAREVEK""",,
Voramasake,,"""F.voramadake"", ""F.voramasake"", ""F.Voramasake"", ""F.VORAMASAKE"", ""F.voramasaky"", ""F.Vorramasake"", ""f.v0ramasake"", ""voramasake"",""FIA VORAMASAKE"", ""VOARAMASAKE"", ""VORAMASAE"", ""VORAMASAKA"", ""VORAMASAKE "", ""VORAMASAKE MALINIKY"", ""VORAMASAKY"", ""VORAMASAKY MALINIKY"", ""VORAMASALE"", ""VORAMSAKE"", ""VOROMASAKA"", ""VOROMASAKE""",,"""Voramasake"",""Voramasaeke"""
,," ""VOROMAMJEA"", ""VOROMANDREA"", ""VOROMANJEA"" ",,
Fia Votosandra?,No idea but these seem to go together,"""F.Votosaka"", ""f.votsandra"", ""F.votsandra"", ""F.Votsandra"", ""F.Votso"", ""VOTSANJA"", ""F.VOTSANDRA"", ""Votsandra"", ""VOTSANDRA"", ""votsoda"", ""F.vontso"", ""VONITSANDRA"", ""VONTSANDRA"", ""VONTSANJA"",  ""VOSANJA"", ""VOTANDRA"", ""VOTRANDRA"", ""VOTSA"", ""VOTSAMDRA"", ""VOTSANDA"", ""VOTSANJA "", ""VOTSO""",,"""Votsandra"",""Votsanja"",""Votsandra sampa"""
Fay tatama,,"""FAY TATAMA"", ""FAY TATAMO"" ",,
Fay,Ray,"""fay"", ""Fay"", ""FAY"", ""Fay  "", ""FAY 1"", ""Fay Vanda"", ""FAAY"", ""FALE"", ""FAY "", ""FAY B"", ""FAY BE"", ""FAY BEVATA"", ""FAY,   ""FAY, ZANGA"",  ""FAYLEJALEJA""",,
,,"""BADIGA""",,
Fay Gitara,,"""FAY GITARA"", ""FAYGITARA""",,
Fay Andema,Rhinobatos,"""Fay Andema"", ""ANDEMA""",BV,
Fela/ Kokiazy,Cypraediae/ cowries,"""FELA"", ""KOKIAZY""",BV,
Fia Ongike,,"""F.ongike"", ""fF.Ongike"", ""ONGOKE""",,"""Ongike"", ""Ongiky"""
Geba,Spotted sardinella or bluestripe herring/ Amblygseter sirm or Herklotsichthys,"""geba"", ""SAREGEBA"" , ""SARIBEBA""",Caitlin,"""Geba"""
Horita nakora,Octopus aegina,"""H nakora"", ""H Nakora"", ""H.nakora"", ""H.Nakora"", ""H.NAKORA"", ""H.Nakorra"", ""AKORA"",  ""HORITA AKORA"", ""HORITANAAKORA"",  ""HORITANAKORA"",  ""HORITAN'AKORA"" ,  ""KOROTANAKORA""",BV,
Lamera,eel,"""L"", ""L "", ""lamera"", ""Lamera"", ""LAMERA"", ""LAMERA TANAMPANO"", ""LAMERAN-KENA"", ""L+L532AMERA"",  ""LAMAIRA"", ""LAMEERA"", ""LAMERA "", ""LAMERA BADIGA"", ""LAMERA BADIJA"", ""LEMERA""  ",,"""Lamaira"",""Lamaira-kina"",""Lamaira fesotse ambato"",""Lamaira kina"",""Lamairankena"""
Langousta,Lobster,"""LANGOSTE"", ""LANGOUSTA"", ""LANGOUSTE""",,
Fia Sapiata?,No idea but these seem to go together,"""F.sapiata"",""sampiata"", ""sapiata"", ""SAPIATA"", ""F.SAPIATA""",,"""Sapiata"""
Fia Takalo,Dory snapper or yellow/spotted bosfish/ Lutjanus fulviflamma or ostracio cubicus or meleagris,"""Takalo"", ""TAKALO"", ""Takaho""",Caitlin,"""Takalo"",""Takalo vavy"""
Anjaramy,Acanthurus Levcosternon/ sturgeon,"""ANJARAME""",BV,"""Andrarame"",""Andraramy"""
Botana,Boxfish/ Ostraciidae,"""BOTANA"", ""BONTANA"", ""BOTAN"", ""BOTANA "", ""BOTANA MALINIKE"", ""BOTANA, , ""BOTANA, ""BOTANA""",BV,"""Botana"",""Botana katsa"",,""Botana lovo"""
,,"BOZIKE""",,
,,"ZANGA""",,
,Squid,ANGISINDOLO,,
Dorate?,Coryphaena hippurus,"""DORATE"", ""dorote""",,"""Droite"", ""Droites"""
Lejaleja,Fish,"""F.ledra"", ""F.ledraledra"", ""F.LEDRALEDRA"", ""ledrale"", ""Ledraledra"", ""LEJALEJA"", ""LEJELEJA"", ""LEJELEJE"", ""LAEJALEJA""",,
Pileve?,,"""F.MPILEVE"", ""F.PILEVE"", ""FIA MPILEVE""",,
Tsabokorado,Euthynus affinis," ""TSABOKOKODO"", ""TSABOKORAODO"", ""TSABOKORODO"", ""TSABORANDANDA"", ""TSABOREKODE"", ""TSABORO"", ""TSABOROKODO"", ""TSABOROKONDO"", ""TSABORONKODO"", ""TSAMBOROKODE"", ""TSAMBOROKODO"" , ""TSOBOKORODO""",BV,"""Tsikorokodo"""
,,"F.SABONTO,",,"""Sabonto"",""Sabonto bole"",""Sabonto jaune"",""Sabonto lavahohy"",""Sabonto mainte"""
Fano,Turtle,"""fano be"", ""FANO""",BV,
,," ""TSEDAFE"",  ""TSIDAFE"", ""TSIODAFE"", ""TSIOKAFY"",  ""TSOIDAFE"", ""TSOIDAFY"", ""TSOIDAY"", ""TSOIDEFE"" ,",,"""Tsoy"",""Tsoy jaine"",""Tsoy zony """
,,"FITSATSAKE, ""FOTITSETSAKE"", ""TSAKEAKE"",",,
Hamby,,"""haby"", ""HABY"", ""HAMBY""",,Hamby
Hima,Giant Clam (no species given),"""HIMA""",Caitlin,
Hovohovo,Obicular batfish/ Platax orbicularis,"""HOVOHOVO"", ""HVOHOVO"",HOVOHOVO""",Caitlin,
Kinirike,,"""F.kinirike"", ""KINIRIKE""",,Kinirike
Liva,Lambis lambis,"""LIVA"", ""Liva"",  LIVA"",  ""LIVA B"", ""LIVA BE"", ""LIVA BEVATA"", ""LIVA KELY"", ""LIVA MALINIKE""",BV,ANTSIVA
Soke,Tripneustes gratilla,"""soke"", ""SOKY""",,
,Fish,"BOTANA""",,Bontana
,Fish,"BADIGA"", ",,
,,,,
,,,,
,,,,
,,,,
