Word (MG),Word (ENG),In data examples,Source,Possible Local Name
Hambitsozo,,"""HAMBINTSOZO"", ""HAMBITSOZO""",,Hamby
,,"""JOHO"", ""JONJA"",   ""JOKO""",,Joho
Jagarode,Fish,"""JAGARODE"", ""JANGARODE""",,
Jakake,Crab,"""JAKAAKE"", ""JAKAKE"", ""JAKAKE 18"", ""JAKAKE, FELA"", ""JIKE""",,
Kapike,,"""KAPIAKE"", ""KAPIKE"",""KAPOAKE"", ""KAPOKE""",,
,,"JONKA"",""JOKA""",,
,Cypraediae/ cowries,katsa,,
,Shell,", ""KAPILA"", ""KAPILA "", ""KAPILA",,
,,"""KARO"" ",,
,," ""KAROTE""",,
Beja,Cypaeacassis rufa," BEJA"" ",,
Katra,Cypraediae/ cowries,"KATRA , ""KATRA,""KATRA""",,
Kiloka,," ""KILIKA"", ""KILOHA"", ""KILOKA"", ""KILOKA "",  ""KODA"", ""KOLOKA"",  ",,
,Cypraediae/ cowries," ""HATSA""",,
,,"KIMIRIKE, ""KIMIRIKE""",,Kinirike
Leontiny,,"""LENTINY"", ""LEONTINY"", ""LIONTINY"", ""F.leontine""",,
Mafihara,Fish,"""MAFIHARA"", ""MAFIHARA,  ""MAHIFARA""  ",,
,,"""FIAMBONJO""",,"""Fiambondro"",""Fiambondro bemaso"",""Fiambondro mena"",""Fiambondro sarijoho"",""Fiambondro sarilafo"",""Fiambondro sarilovo"",""Mbondro"""
Malongy,Fish,MAHALOGY,,Mahalogy
,Fish," ""F.Mahaloky""",,"""Mahaloky"",""Mahaloky bemaso"""
,,"MALONGY, ""MALONGY"", ",,
,," ""MAROMOGNE"", ""MARONOGNE""",,
Mandriandovoke,Fish," ""FIA MANDRIANDOVOKE"", ""MAJANDOVOKE"" ""MAJANDOVOKE"", ""MANDRANDOVOKE"", ""MANDRIANDOVOKE"",""MANJANDOVOKE"", ""MANJIANDOVOKE""",,
,Fish,"MANGERELAVENOKE, ""MANGERILAVELONE"", ""MANGERILAVENOKE"", ""MANGERILAVENOKE/TARATAKE""",,
,,MANDREANDREA,,
Panisy,Fish,"""PANIISY"", ""PANISY"", ""PANISY",,
,Fish,"ANGY""",,"""anginkara"",""Anginkara"",""Angintsoy"",""Angihoala"""
Mosora,,"""MOSORA"" ,  ""MOSORS""",,
Sarobe,Fish,"""SAROBE"", ""SAROLE"",",,Sarobe
,," ""SORALY"", ""SORANALY"", ""SORIALY"", ""SOROALY"" ",,Soronale
Soana,,"""SOAGNA"", ""SOANA""",,
,Fish," ""SOANADA"" ",,
Tampampandra,,"""TAMPAMPANDRA"", ""TAMPAMPOROHA"", ""TAMPAPOROHA""",,Taporoha
Paraki Hosoke,Parakihosoke,"""PARAKIHOSOKE"" , ""PARAKY HOSOKE"" ",,
Tapaporaha,,"""TAPAPORAHA"", ""TAPAPOROHA"", ""TAPAPOROKA""",,
Tsiomarene,,"""TSIOMARENE"", ""TSIOMEARENE"", ""TSIONERANE"", ""TSOIMARE"", ""TSOIMARENE"", ""TSOMEAROE""     ",,"""Tsomeareny"", ""Tsomiariny"""
,,"TSIOMENA, ""TSOIKE MENA"", ""TSOIMENA"",",,Tsoy
Vatsitsa,Fish," ""F.VATSITSA"", ""VATRITRA"", ""VATRITSA"", ""VATSITSA"" ",,
Volompihamitse,Fish,"""VOLAMPIHAMITSE"", ""VOLATAITSE"", ""VOLOMPIHAMITS"", ""VOLOMPIHAMITSE"", ""VOLOMPIHAMY""",,
Anadanora,,"""ANA-DANORA"", ""ANADANORA"", ""ARADANORA""",,
Antseraky,Black-barred halfbeak/ hemiramphus far,"""ANTSERAKE"", ""F.anterake"", ""F.ANTSERAKE"", ""F.antseraky"", ""F.Antserake"", ""ATSERAKE""",Caitlin,
,,"TSOOIKE,",,Tsoy
,," ""TSABEABATO"" ",,Tsabeake
,," ""AVORAKE"" ",,
,Cypraediae/ cowries," ""TSOKARIKE""",,
,,TSORAKY ,,
Bozike,Chicoreus ramosus,"""b"",""B"", ""Bboziky/joka"", ""BETAMPY"", ""Boz ike"",   ""bozike"",  ""Bozike"" , ""BOZIKE"", ""BOZIKE "", ""Bozike Joka"" ,   ""Bozike Jonka""  ,  ""BOZIKE JONKA"", ""BOZIKE MENA"", ""Boziky"" , ""B0zike"", ""Bbzike"", ""BOZIDN-AHY"", ""Bozike "", ""BOZIKE 1"", ""BOZIKE 5"", ""BOZIKE.JONKA"", ""BOZIKE30"", ""boziky"", ""JONKA"", ""NJONKA"", ""BOBIKE"", ""BODIGA"", ""BOJA"", ""BOKIKE"", ""BOZIKA"", ""BOZIKE, HOVOHOVO"", ""BOZITSE"" , BOZIKE"",.BOZIKE"", ",Caitlin,
Beja,Bull-mouth helmet/ cypaeacassis rufa,"""Beja"", ""BEJA"", ""beja"", ""Beja "", ""benja"", ""BEJA, ""BEJA ""BELA"" , ""BEZA""",BV,
,,", TABOKINA"",",,
,Sea Cucumber,"“Z"", ""Z.JOMALY"", ""Z"", ""Z.JOMALY"", ""zanga zomaly"", ""Zanga zomaly"", ""Zanga Zomaly"", ""ZOMALY "",""ZangaZomaly"", ""zamaly Z.M"",  ""ZOMALY"", ""zomaly"",""ZANGA JOMALY"",",,
Zanga,Sea Cucumber,"""ZAGO"", ""zanga"", ""ZANGA"", ""zanga   "", ""ZANGA PITIKE"", , ""  TS.K ZANGA"", ""2anga"", ""F.N Zanga"", ""F.T Zanga"", ""F.T Zanga "", ""Fala Zanga"", ""J.B Zanga"", ""J.M Zanga"", ""J.M Zanga "", ""J-M Zanga"", ""Maite Zanga "", ""sanga"", ""Z 10"", ""Z. FALA"", ""Z.FOLERA"", ""ZANGA DRAGON  "", ""Z.TARIKE"", ""Z.TONA"", ""zaga"", ""ZAGA"", ""zana"", ""Zanga"", ""ZANGA "", ""Zanga   "", ""ZANGA 1"", ""ZANGA 4"", ""ZANGA 6"",  , ""zanga J.be"", ""zanga J.m"", ""zanga J.M"", ""Zanga kida"", ""Zanga mainte"",""Zanga Mainte"", ""zanga mainte"", ""Zanga potike"", ""ZANGA S.N"", ""ZANGA SONO"", ""Zanga Tarike"",  ""Zanga Z.M"", ""zanga Z.M"", ""ZANGA , ZANGA"", ""ZANG"", ""ZANGA BABAKE"", ""ZANGA BABOKE"",  ""ZANGA, ""ZANGA, ""ZANGA,  ""ZANGA,  ""ZANGA, ""ZANGAA"", ""ZANNGA""",,
,Sea Cucumber," ""ZANGA JOGINY"",",,
,,zanga folera,,
